date,term,sku,position,clicks
22-Jan-24,cut resistant gloves,PIP34-8743/L,1:04,3
23-Jan-24,OX 200,OX 200,1:02,3
24-Jan-24,liquid nitrogen,NI 230LT22,1:01,3
25-Jan-24,cd 50,CD 50,1:02,3
25-Jan-24,tyvek,DPPTY120SWH2X00,1:02,3
26-Jan-24,welding gloves,PIP9070/M,1:10,3
29-Jan-24,ar cd25300,AR CD25300,1:01,3
29-Jan-24,Argon,AR UHP300,1:01,3
30-Jan-24,cut resistant gloves,HONWE300-S,1:01,3
30-Jan-24,safety glasses,RAD64051224,1:13,3
31-Jan-24,ar uhp300,AR UHP300,1:01,3
1-Feb-24,ar cd10300,AR CD10300,1:01,3
1-Feb-24,ni 300,NI 300,1:01,3
5-Feb-24,Argon,AR UHP35,1:09,3
5-Feb-24,OX 200,OX 200,1:02,3
6-Feb-24,face shield,RAD64051722,2:03,3
6-Feb-24,gloves,RAD64057530,3:08,3
6-Feb-24,hydrogen,HY UHP80,2:07,3
6-Feb-24,nitrogen,NI 300,1:05,3
12-Oct-23,cd 50,CD 50,1:01,2
12-Oct-23,flap disc,3MA638060-05903,1:01,2
12-Oct-23,NI UHP300,NI UHP300,1:01,2
12-Oct-23,REGULATOR,Y11N198J677-AG,2:01,2
12-Oct-23,safety glasses,PIP250-01-0001,8:15,2
13-Oct-23,he uhp300,HE UHP300,1:01,2
13-Oct-23,hy uhp300,HY UHP300,1:01,2
13-Oct-23,oxygen,OX 200,1:01,2
13-Oct-23,oxygen,OX 300,1:03,2
13-Oct-23,PR 33A,PR 33A,1:01,2
13-Oct-23,safety glasses,RAD64051205,1:01,2
16-Oct-23,7018,LINED037423,1:12,2
16-Oct-23,cd 50,CD 50,1:01,2
16-Oct-23,liquid nitrogen,NI 230LT22,1:02,2
16-Oct-23,propane,LINK2981-M,2:07,2
16-Oct-23,propane,LINK2983-XL,2:09,2
17-Oct-23,air,AI USP200,1:02,2
17-Oct-23,co2,CD 180LT350,1:08,2
17-Oct-23,NI UHP300,NI UHP300,1:01,2
17-Oct-23,pr 33,PR 33,1:01,2
17-Oct-23,safety glasses,CREBK110AF,1:04,2
17-Oct-23,safety glasses,RAD64051220,1:02,2
18-Oct-23,ar cd25300,AR CD25300,1:01,2
18-Oct-23,gloves,RAD64056003,1:04,2
18-Oct-23,he uhp300,HE UHP300,1:01,2
18-Oct-23,ni 230lt22,NI 230LT22,1:01,2
18-Oct-23,NI UHP300,NI UHP300,1:01,2
18-Oct-23,ox200,AC 5,1:01,2
18-Oct-23,pr 33,PR 33,1:01,2
19-Oct-23,ar 300,AR 300,1:01,2
19-Oct-23,ni 300,NI 300,1:02,2
19-Oct-23,safety glasses,RAD64051421,1:01,2
20-Oct-23,dry ice,CD ICEP3BL,1:01,2
20-Oct-23,safety glasses,RAD64051224,1:05,2
23-Oct-23,acetylene,AC 4,1:01,2
23-Oct-23,Argon,AR 40,2:03,2
23-Oct-23,dry ice,CD ICEP,1:01,2
23-Oct-23,ear plugs,HONLT-30,1:13,2
23-Oct-23,ear plugs,RAD64000378,1:01,2
23-Oct-23,ni 230lt22,NI 230LT22RB,1:02,2
23-Oct-23,NI UHP300,NI UHP300,1:01,2
23-Oct-23,OX 200,OX 200,1:01,2
23-Oct-23,PR 33A,PR 33A,1:01,2
23-Oct-23,safety glasses,RAD64051205,1:01,2
23-Oct-23,soapstone,RAD64002292,1:07,2
24-Oct-23,AC 4,AC 4,1:01,2
24-Oct-23,Argon,AR UHP230LT230,1:08,2
24-Oct-23,ear plugs,MOL6604,1:01,2
24-Oct-23,Hard hat,HONE2QRW71A000,2:17,2
24-Oct-23,HE 300,HE 300,1:02,2
24-Oct-23,he uhp300,HE UHP300,1:01,2
24-Oct-23,NI UHP300,NI UHP300,1:01,2
25-Oct-23,ar uhp300,AR UHP300,1:01,2
25-Oct-23,Argon,AR 300,1:01,2
25-Oct-23,Argon,AR UHP300,1:02,2
25-Oct-23,he uhp300,HE UHP300,1:01,2
25-Oct-23,he uhp300,HE UPC300,1:01,2
25-Oct-23,helium,HE UHP300,1:01,2
25-Oct-23,nitrile gloves,PIP67-246/S,1:16,2
25-Oct-23,OX UHP300,OX UHP300,1:01,2
25-Oct-23,pr33,PR 33,1:01,2
25-Oct-23,welding jacket,LINK2985-XL,1:17,2
26-Oct-23,ear plugs,HONLL-1-D,1:07,2
26-Oct-23,he uhp300,HE UHP300,1:01,2
26-Oct-23,NI UHP300,NI UHP300,1:01,2
27-Oct-23,acetylene,AC 4,1:01,2
27-Oct-23,dry ice,CD ICECB2,1:03,2
27-Oct-23,nitrogen,NI 200,1:03,2
27-Oct-23,PR 33A,PR 33A,1:01,2
27-Oct-23,propane,PR 33A,1:01,2
27-Oct-23,REGULATOR,RAD64003031,1:01,2
27-Oct-23,tyvek,DPPTY120SWHXL00,1:02,2
30-Oct-23,Argon,AR 20,1:01,2
30-Oct-23,Argon,AR 300,1:01,2
30-Oct-23,cd usp50,CD USP50,1:01,2
30-Oct-23,nitrogen,NI 230LT22,1:02,2
30-Oct-23,nitrogen,NI UHP300,1:01,2
30-Oct-23,welding gloves,TIL1250XL,2:18,2
31-Oct-23,ar 300,AR 300,1:01,2
31-Oct-23,ar cd25300,AR CD25300,1:01,2
31-Oct-23,cd 50,CD 50,1:01,2
31-Oct-23,gloves,LINK2985-XXL,1:01,2
31-Oct-23,leather gloves,RAD64057924,2:02,2
31-Oct-23,nitrogen,NI 60A,1:19,2
31-Oct-23,Ox 300,OX 300,1:01,2
1-Nov-23,AI UZ300,AI UZ300,1:01,2
1-Nov-23,Argon,AR 300,1:01,2
1-Nov-23,Cd uspe,CD USPE,1:01,2
1-Nov-23,dry ice,CD ICEP,1:01,2
1-Nov-23,ear plugs,CAS311-1257,3:04,2
1-Nov-23,earplugs,HONLL-1-D,1:07,2
2-Nov-23,acetylene,AC B,1:04,2
2-Nov-23,Argon,AR 125,1:03,2
2-Nov-23,co2,CD 50,1:01,2
2-Nov-23,ni 300,NI 300,1:02,2
2-Nov-23,NI UHP300,NI UHP300,1:01,2
2-Nov-23,nitrogen,NI 200,1:03,2
2-Nov-23,propane,PR I350S,1:09,2
3-Nov-23,earplugs,HONLPF-1,1:05,2
3-Nov-23,he uhp300,HE UHP300,1:01,2
3-Nov-23,nitrogen,NI NFE,2:05,2
3-Nov-23,ox uspea,OX USPEA,1:01,2
6-Nov-23,ar cd25300,AR CD25300,1:01,2
6-Nov-23,cd 50,CD 50,1:01,2
6-Nov-23,nitrous,AC 4,1:01,2
6-Nov-23,soapstone,RAD64002291,1:07,2
7-Nov-23,ac5,AC 5,1:01,2
7-Nov-23,ar 300,AR 300,1:01,2
7-Nov-23,NI C23,NI C23,1:01,2
7-Nov-23,ox uspea,OX USPEA,1:01,2
7-Nov-23,oxygen,OX UHP300,1:06,2
7-Nov-23,tyvek,DPPTY127SWH2X00,1:01,2
8-Nov-23,AC 4,AC 4,1:01,2
8-Nov-23,ar cd25300,AR CD25300,1:01,2
8-Nov-23,earplugs,HONQD1,1:15,2
8-Nov-23,hydrogen,HY UHPC63,1:05,2
8-Nov-23,Ox 300,OX 300,1:01,2
8-Nov-23,OX USP200,OX USP200,1:01,2
8-Nov-23,safety glasses,RAD64051205,1:01,2
8-Nov-23,safety glasses,WAP007022,1:02,2
8-Nov-23,un1956,Z03NI80FME0326,1:01,2
9-Nov-23,ar 300,AR 300,1:01,2
9-Nov-23,earplugs,3MR311-1250,1:18,2
9-Nov-23,OX UHP300,OX UHP300,1:01,2
9-Nov-23,oxygen,OX USPE,1:10,2
9-Nov-23,safety glasses,RAD64051205,1:01,2
10-Nov-23,ni 300,NI 300,1:02,2
12-Nov-23,nitrogen,NI UHP300,1:01,2
13-Nov-23,AI UZ300,AI UZ300,1:01,2
13-Nov-23,Ar cd25125,AR CD25125,1:01,2
13-Nov-23,Argon,AR UHP300,1:01,2
13-Nov-23,carbon dioxide,CD 230LT350,1:14,2
13-Nov-23,gloves,RAD64056812,1:19,2
14-Nov-23,AC 4,AC 4,1:01,2
14-Nov-23,ar 300,AR 300,1:01,2
14-Nov-23,ar uhp300,AR UHP300,1:01,2
14-Nov-23,Argon,AR 300,1:01,2
14-Nov-23,co2,CD 50,1:01,2
14-Nov-23,face shield,HONS8500,1:02,2
14-Nov-23,he uhp300,HE UHP300,1:01,2
14-Nov-23,helium,HE UHP300,1:01,2
14-Nov-23,NI C23,NI C23,1:01,2
14-Nov-23,safety glasses,RAD64051220,1:02,2
15-Nov-23,Argon,AR UHP300,1:02,2
15-Nov-23,ear plugs,HONLL-1,1:02,2
15-Nov-23,ni 300,NI 300,1:02,2
15-Nov-23,nitrous oxide,NS USPE,1:02,2
15-Nov-23,Ox 300,OX 300,1:01,2
15-Nov-23,welding gloves,PIP6143/L,1:18,2
16-Nov-23,ar uhp300,AR UHP300,1:01,2
16-Nov-23,dry ice,CD ICEG1,1:06,2
16-Nov-23,gloves,RAD64057175,1:16,2
16-Nov-23,helium,HE UHP300,1:01,2
16-Nov-23,NI C23,NI C23,1:01,2
16-Nov-23,oxygen,OX USPEAWBDS,1:03,2
17-Nov-23,ar 300,RAD64056929,1:03,2
17-Nov-23,ar uhp300,AR UHP300,1:01,2
17-Nov-23,propane,PR 100,1:03,2
17-Nov-23,safety glasses,RAD64051205,1:01,2
20-Nov-23,cd usp50,CD USP50,1:01,2
20-Nov-23,dry ice,CD ICEP3BL,1:01,2
21-Nov-23,oxygen,OX 80,1:19,2
21-Nov-23,safety glasses,CREBK110,1:02,2
21-Nov-23,safety glasses,RAD64051205,1:01,2
22-Nov-23,AC 4,AC 4,1:01,2
22-Nov-23,PR 33A,PR 33A,1:01,2
27-Nov-23,ac4,AC 4,1:01,2
27-Nov-23,Ai B300,AI B300,1:01,2
27-Nov-23,Argon,AR 300,1:02,2
27-Nov-23,co2,HY 200,1:04,2
27-Nov-23,dry ice,CD ICEP3BL,1:01,2
27-Nov-23,he uhp300,HE UHP300,1:01,2
27-Nov-23,helium,HE UHP300,1:01,2
27-Nov-23,OX USP200,OX USP200,1:01,2
27-Nov-23,PR 33A,PR 33A,1:01,2
27-Nov-23,safety glasses,RAD64051205,1:01,2
28-Nov-23,AI UZ300,AI UZ300,1:01,2
28-Nov-23,Argon,AR 80,1:08,2
28-Nov-23,liquid nitrogen,NI 230LT22,1:01,2
28-Nov-23,liquid nitrogen,NI NF180LT350,1:20,2
28-Nov-23,liquid nitrogen,NI UHP230LT230,1:12,2
28-Nov-23,ni 300,NI 300,1:02,2
28-Nov-23,nitrogen,NI NF200,1:04,2
28-Nov-23,safety glasses,CREBK112AF,2:17,2
29-Nov-23,hydrogen,HY UHP300,1:01,2
29-Nov-23,nitrogen,NI 40,2:03,2
29-Nov-23,tyvek,DPPTY120SWHXL00,1:02,2
29-Nov-23,tyvek,DPPTY127SWH2X00,1:01,2
30-Nov-23,acetylene,AC 4,1:01,2
30-Nov-23,he uhp300,HE UHP300,1:01,2
30-Nov-23,ni 300,NI 300,1:02,2
30-Nov-23,nitrogen,Y12244D580-AG,1:01,2
30-Nov-23,nitrogen,Y12N245D580-AG,1:02,2
30-Nov-23,safety glasses,PIP250-11-0904,1:02,2
1-Dec-23,ar cd10300,AR CD10300,1:01,2
1-Dec-23,Argon,AR UHP300,1:01,2
1-Dec-23,cd usp50,CD USP50,1:01,2
1-Dec-23,earplugs,MOL6604,1:01,2
1-Dec-23,hyp220842,RAD64056928,2:01,2
1-Dec-23,ni 300,NI 300,1:02,2
1-Dec-23,NI UHP300,NI UHP300,1:01,2
1-Dec-23,welding gloves,PIP1832-5,3:17,2
4-Dec-23,Argon,AR 125,1:03,2
4-Dec-23,Argon,AR UHP300,1:01,2
4-Dec-23,he uhp300,HE UHP300,1:01,2
4-Dec-23,safety glasses,RAD64051653,3:14,2
5-Dec-23,AC 4,AC 4,1:01,2
5-Dec-23,acetylene,AC 4,1:01,2
5-Dec-23,Argon,AR 80,1:08,2
5-Dec-23,Cd uspe,CD USPE,1:01,2
5-Dec-23,he uhp300,HE UHP300,1:01,2
5-Dec-23,oxygen,OX 300,1:03,2
5-Dec-23,rad64051205,KSIKCJ-01-YL,1:02,2
6-Dec-23,Argon,AR UHP300,1:02,2
6-Dec-23,Argon,XE RP9A200LT,1:03,2
6-Dec-23,cd usp50,CD USP50,1:01,2
7-Dec-23,acetylene,AC B,1:04,2
7-Dec-23,he uhp300,HE UHP300,1:01,2
7-Dec-23,Ni NF200,NI NF200,1:01,2
7-Dec-23,nitrogen,NI 60A,2:03,2
7-Dec-23,oxygen,OX 300,1:03,2
7-Dec-23,PR 33A,PR 33A,1:01,2
8-Dec-23,face shield,MSA10118697,1:20,2
8-Dec-23,NI UHP300,NI UHP300,1:01,2
11-Dec-23,REGULATOR,MIL30-150-580,1:11,2
12-Dec-23,acetylene,AC 4,1:01,2
12-Dec-23,ar uhp300,AR UHP300,1:01,2
12-Dec-23,Argon,AR 125,1:03,2
12-Dec-23,face shield,HONFM400DCCLC,1:07,2
12-Dec-23,hydrogen,HY 300,1:03,2
13-Dec-23,AC 4,AC 4,1:01,2
13-Dec-23,ar uhp300,AR UHP300,1:01,2
13-Dec-23,cd 50,CD 50,1:01,2
13-Dec-23,er70s-6,RAD64004287,1:04,2
13-Dec-23,HE 300,HE 300,1:02,2
13-Dec-23,he uhp300,HE UHP300CT,1:02,2
13-Dec-23,ni 300,NI 300,1:02,2
13-Dec-23,Ox 300,AC 5,1:01,2
13-Dec-23,OX USP200,OX USP200,1:01,2
13-Dec-23,propane,PR 33A,1:01,2
14-Dec-23,7018,LINED028702,1:07,2
14-Dec-23,air,MIL30-150-580,1:05,2
14-Dec-23,earplugs,RAD64051848,1:02,2
14-Dec-23,HE 300,HE 300,1:02,2
14-Dec-23,he uhp300,HE UHP300,1:01,2
14-Dec-23,nitrogen,NI 200,1:03,2
14-Dec-23,safety glasses,CREBK110AF,1:04,2
14-Dec-23,tyvek,DPPTY122SWH2X00,1:06,2
14-Dec-23,tyvek,DPPTY122SWHXL00,1:09,2
15-Dec-23,7018,LINED028281,1:01,2
15-Dec-23,acetylene,AC B,1:04,2
15-Dec-23,ni 230lt22,NI 230LT22,1:01,2
15-Dec-23,safety glasses,RAD64051224,1:05,2
18-Dec-23,AI UZ300,AI UZ300,1:01,2
18-Dec-23,ar 300,AR 300,1:01,2
18-Dec-23,Hard hat,MSA475360,1:03,2
18-Dec-23,Ni NF200,NI NF200,1:01,2
18-Dec-23,NI UHP300,NI UHP300,1:01,2
18-Dec-23,oxygen,OX USPEAWBDS,1:01,2
18-Dec-23,welding jacket,MIL244751,1:02,2
18-Dec-23,welding jacket,TIL6230L,1:06,2
19-Dec-23,ac4,AC 4N300,1:02,2
19-Dec-23,Hard hat,MSA475369,1:01,2
19-Dec-23,Hard hat,MSA488146,1:05,2
19-Dec-23,nitrous oxide,NS USP56,1:01,2
19-Dec-23,nitrous oxide,NS USPE,1:02,2
20-Dec-23,ar 300,AR 300,1:01,2
20-Dec-23,ar cd10300,AR CD10300,1:01,2
20-Dec-23,co2,CD USP50,1:01,2
20-Dec-23,nitrogen,NI 300,1:05,2
21-Dec-23,7018,MIL198855,1:01,2
21-Dec-23,cd 50,CD 50,1:04,2
21-Dec-23,Cd uspe,CD USPE,1:01,2
21-Dec-23,gloves,RAD64056368,1:04,2
21-Dec-23,leather gloves,TIL1414L,1:01,2
21-Dec-23,MIL216326,MIL216326,1:01,2
21-Dec-23,propane,PR 33A,1:01,2
22-Dec-23,face shield,SEL29079,1:05,2
22-Dec-23,nitrogen,NI UHP300,1:02,2
22-Dec-23,safety glasses,RAD64051621,2:10,2
26-Dec-23,ni 300,NI 300,1:01,2
27-Dec-23,nitrous,NS USP56,1:01,2
27-Dec-23,PR 33A,PR 33A,1:01,2
28-Dec-23,gloves,E5717614,1:10,2
29-Dec-23,ac4,AC 4,1:01,2
2-Jan-24,cd 50,CD 50,1:04,2
2-Jan-24,he uhp300,HE UHP300,1:01,2
2-Jan-24,OX 200,OX 200,1:01,2
3-Jan-24,ar uhp300,AR UHP300,1:01,2
3-Jan-24,Argon,AR 80,1:17,2
3-Jan-24,Argon,AR CD25125,1:02,2
3-Jan-24,ni 230lt22,NI 230LT22,1:01,2
3-Jan-24,NI UHP300,NI UHP300CT,1:02,2
3-Jan-24,PR 33A,PR 33A,1:01,2
4-Jan-24,Argon,RGMSM-NOZ000018,1:03,2
4-Jan-24,ear plugs,HONLL-1,1:02,2
4-Jan-24,he uhp300,HE UHP300,1:01,2
4-Jan-24,ni 300,NI 300,1:01,2
5-Jan-24,ar 300,AR 300,1:01,2
5-Jan-24,ar cd25300,AR CD25300,1:01,2
5-Jan-24,Argon,AR 300,1:02,2
5-Jan-24,gloves,RAD64057530,3:05,2
5-Jan-24,ni 230lt22,NI 230LT22,1:01,2
5-Jan-24,ni 300,NI 300,1:01,2
5-Jan-24,safety glasses,RAD64051205,1:02,2
8-Jan-24,safety glasses,CREBK110AF,1:03,2
8-Jan-24,welding jacket,LINK4692-2XL,1:13,2
9-Jan-24,7018,LINED028280,1:01,2
9-Jan-24,ar 300,AR 300,1:01,2
9-Jan-24,cd50,CD 50,1:01,2
9-Jan-24,he uhp300,HE UHP300,1:01,2
9-Jan-24,hydrogen,HY UHP200,1:01,2
9-Jan-24,hydrogen,HY UHP300,1:01,2
9-Jan-24,MIL216326,MIL216326,1:01,2
9-Jan-24,ni 300,NI 300,1:01,2
9-Jan-24,Ni NF200,NI NF200,1:01,2
9-Jan-24,nitrogen,NI NF200,1:06,2
9-Jan-24,safety glasses,HONA800,1:11,2
9-Jan-24,safety glasses,HONS0250X,3:01,2
11-Jan-24,acetylene,AC 4,1:01,2
11-Jan-24,ar 300,AR 300,1:01,2
11-Jan-24,he uhp300,HE UHP300,1:01,2
11-Jan-24,NI UHP300,NI UHP300,1:01,2
11-Jan-24,nitrogen,NI 300,1:01,2
11-Jan-24,soapstone,RAD64002291,1:01,2
12-Jan-24,acetylene,AC 4N300,1:04,2
12-Jan-24,air,AI USP200,1:04,2
12-Jan-24,cd 50,CD 50,1:02,2
12-Jan-24,ox uspeawbds,OX USPEAWBDS,1:01,2
12-Jan-24,oxygen,OX 200,1:03,2
12-Jan-24,PR 33A,PR 33A,1:01,2
12-Jan-24,safety glasses,CRECL010,2:03,2
12-Jan-24,welding jacket,LINK3106-XL,1:08,2
15-Jan-24,ar 300,AR UHP300,1:02,2
15-Jan-24,ar uhp300,AR UHP300,1:01,2
15-Jan-24,ar300,AR CD10300,1:01,2
15-Jan-24,Argon,AR 300,1:02,2
15-Jan-24,ear plugs,HONMAX-30,1:06,2
15-Jan-24,nitrogen,NI FG300,1:02,2
15-Jan-24,nitrous oxide,NS USP56,1:01,2
15-Jan-24,pr33,PR 33A,1:01,2
15-Jan-24,propane,PR 20,1:04,2
16-Jan-24,7018,LINED028281,1:01,2
16-Jan-24,dry ice,CD ICECB2,1:18,2
16-Jan-24,ni 300,NI 300,1:01,2
16-Jan-24,nitrogen,NI 40,1:15,2
17-Jan-24,co2,CD USP50,1:01,2
17-Jan-24,helium,AI B300,1:06,2
17-Jan-24,hydrogen,HY UHP200,1:05,2
17-Jan-24,ni 300,NI 300,1:01,2
18-Jan-24,7018,LINED028281,1:01,2
18-Jan-24,cd50,CD 50,1:01,2
18-Jan-24,NI C23,NI C23,1:01,2
18-Jan-24,nitrogen,NI UHP300,1:02,2
18-Jan-24,Ox 300,OX 300,1:01,2
19-Jan-24,ar cd10300,AR CD10300,1:01,2
19-Jan-24,ar cd25300,AR CD25300,1:01,2
19-Jan-24,Argon,AR 300,1:02,2
19-Jan-24,NI UHP300,NI UHP300,1:01,2
19-Jan-24,Ox 300,OX 300,1:01,2
22-Jan-24,cd 50,CD 50,1:02,2
22-Jan-24,cut resistant gloves,MEG92720NFL,1:15,2
22-Jan-24,cut resistant gloves,PF32076-L,1:03,2
22-Jan-24,ear plugs,HONLL-1,1:02,2
22-Jan-24,gloves,RAD64056808,4:12,2
22-Jan-24,hydrogen,AC B,1:05,2
22-Jan-24,propane,PR 100,1:03,2
22-Jan-24,safety glasses,CREBK112,1:14,2
22-Jan-24,soapstone,RAD64002291,1:01,2
23-Jan-24,ar 300,AR 300,1:01,2
23-Jan-24,cd usp50,CD USP50,1:01,2
23-Jan-24,co2,CD FG20S,1:02,2
23-Jan-24,earplugs,HONLPF-1,1:05,2
23-Jan-24,liquid nitrogen,NI 230LT22,1:01,2
23-Jan-24,Ox 300,OX 300,1:01,2
